Codepoint,Form,Name
"16AF2","◌𖫲","BASSA VAH COMBINING MID TONE"
"16AF3","◌𖫳","BASSA VAH COMBINING LOW-MID TONE"
"16AF4","◌𖫴","BASSA VAH COMBINING HIGH-LOW TONE"
"16B30","◌𖬰","PAHAWH HMONG MARK CIM TUB"
"16B31","◌𖬱","PAHAWH HMONG MARK CIM SO"
"16B32","◌𖬲","PAHAWH HMONG MARK CIM KES"
"16B33","◌𖬳","PAHAWH HMONG MARK CIM KHAV"
"16B34","◌𖬴","PAHAWH HMONG MARK CIM SUAM"
"16B35","◌𖬵","PAHAWH HMONG MARK CIM HOM"
"16B36","◌𖬶","PAHAWH HMONG MARK CIM TAUM"
"1BC9E","◌𛲞","DUPLOYAN DOUBLE MARK"
"1E000","◌𞀀","COMBINING GLAGOLITIC LETTER AZU"
"1E001","◌𞀁","COMBINING GLAGOLITIC LETTER BUKY"
"1E002","◌𞀂","COMBINING GLAGOLITIC LETTER VEDE"
"1E003","◌𞀃","COMBINING GLAGOLITIC LETTER GLAGOLI"
"1E004","◌𞀄","COMBINING GLAGOLITIC LETTER DOBRO"
"1E005","◌𞀅","COMBINING GLAGOLITIC LETTER YESTU"
"1E006","◌𞀆","COMBINING GLAGOLITIC LETTER ZHIVETE"
"1E008","◌𞀈","COMBINING GLAGOLITIC LETTER ZEMLJA"
"1E009","◌𞀉","COMBINING GLAGOLITIC LETTER IZHE"
"1E00A","◌𞀊","COMBINING GLAGOLITIC LETTER INITIAL IZHE"
"1E00B","◌𞀋","COMBINING GLAGOLITIC LETTER I"
"1E00C","◌𞀌","COMBINING GLAGOLITIC LETTER DJERVI"
"1E00D","◌𞀍","COMBINING GLAGOLITIC LETTER KAKO"
"1E00E","◌𞀎","COMBINING GLAGOLITIC LETTER LJUDIJE"
"1E00F","◌𞀏","COMBINING GLAGOLITIC LETTER MYSLITE"
"1E010","◌𞀐","COMBINING GLAGOLITIC LETTER NASHI"
"1E011","◌𞀑","COMBINING GLAGOLITIC LETTER ONU"
"1E012","◌𞀒","COMBINING GLAGOLITIC LETTER POKOJI"
"1E013","◌𞀓","COMBINING GLAGOLITIC LETTER RITSI"
"1E014","◌𞀔","COMBINING GLAGOLITIC LETTER SLOVO"
"1E015","◌𞀕","COMBINING GLAGOLITIC LETTER TVRIDO"
"1E016","◌𞀖","COMBINING GLAGOLITIC LETTER UKU"
"1E017","◌𞀗","COMBINING GLAGOLITIC LETTER FRITU"
"1E018","◌𞀘","COMBINING GLAGOLITIC LETTER HERU"
"1E01B","◌𞀛","COMBINING GLAGOLITIC LETTER SHTA"
"1E01C","◌𞀜","COMBINING GLAGOLITIC LETTER TSI"
"1E01D","◌𞀝","COMBINING GLAGOLITIC LETTER CHRIVI"
"1E01E","◌𞀞","COMBINING GLAGOLITIC LETTER SHA"
"1E01F","◌𞀟","COMBINING GLAGOLITIC LETTER YERU"
"1E020","◌𞀠","COMBINING GLAGOLITIC LETTER YERI"
"1E021","◌𞀡","COMBINING GLAGOLITIC LETTER YATI"
"1E023","◌𞀣","COMBINING GLAGOLITIC LETTER YU"
"1E024","◌𞀤","COMBINING GLAGOLITIC LETTER SMALL YUS"
"1E026","◌𞀦","COMBINING GLAGOLITIC LETTER YO"
"1E027","◌𞀧","COMBINING GLAGOLITIC LETTER IOTATED SMALL YUS"
"1E028","◌𞀨","COMBINING GLAGOLITIC LETTER BIG YUS"
"1E029","◌𞀩","COMBINING GLAGOLITIC LETTER IOTATED BIG YUS"
"1E02A","◌𞀪","COMBINING GLAGOLITIC LETTER FITA"
"1E130","◌𞄰","NYIAKENG PUACHUE HMONG TONE-B"
"1E131","◌𞄱","NYIAKENG PUACHUE HMONG TONE-M"
"1E132","◌𞄲","NYIAKENG PUACHUE HMONG TONE-J"
"1E133","◌𞄳","NYIAKENG PUACHUE HMONG TONE-V"
"1E134","◌𞄴","NYIAKENG PUACHUE HMONG TONE-S"
"1E135","◌𞄵","NYIAKENG PUACHUE HMONG TONE-G"
"1E136","◌𞄶","NYIAKENG PUACHUE HMONG TONE-D"
"1E2AE","◌𞊮","TOTO SIGN RISING TONE"
"1E2EC","◌𞋬","WANCHO TONE TUP"
"1E2ED","◌𞋭","WANCHO TONE TUPNI"
"1E2EE","◌𞋮","WANCHO TONE KOI"
"1E2EF","◌𞋯","WANCHO TONE KOINI"
"1E4EC","◌𞓬","NAG MUNDARI SIGN MUHOR"
"1E4ED","◌𞓭","NAG MUNDARI SIGN TOYOR"
"1E4EE","◌𞓮","NAG MUNDARI SIGN IKIR"
"1E4EF","◌𞓯","NAG MUNDARI SIGN SUTUH"
"1E8D0","◌𞣐","MENDE KIKAKUI COMBINING NUMBER TEENS"
"1E8D1","◌𞣑","MENDE KIKAKUI COMBINING NUMBER TENS"
"1E8D2","◌𞣒","MENDE KIKAKUI COMBINING NUMBER HUNDREDS"
"1E8D3","◌𞣓","MENDE KIKAKUI COMBINING NUMBER THOUSANDS"
"1E8D4","◌𞣔","MENDE KIKAKUI COMBINING NUMBER TEN THOUSANDS"
"1E8D5","◌𞣕","MENDE KIKAKUI COMBINING NUMBER HUNDRED THOUSANDS"
"1E8D6","◌𞣖","MENDE KIKAKUI COMBINING NUMBER MILLIONS"
"1E944","◌𞥄","ADLAM ALIF LENGTHENER"
"1E945","◌𞥅","ADLAM VOWEL LENGTHENER"
"1E946","◌𞥆","ADLAM GEMINATION MARK"
"1E947","◌𞥇","ADLAM HAMZA"
"1E948","◌𞥈","ADLAM CONSONANT MODIFIER"
"1E949","◌𞥉","ADLAM GEMINATE CONSONANT MODIFIER"
"1E94A","◌𞥊","ADLAM NUKTA"
